timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944543,2026-02-13T09:02:23.306144,0.0075,0.008,0.007,0.001,3820104.54,611784.61
1770944603,2026-02-13T09:03:23.315186,0.0075,0.008,0.007,0.001,3819987.36,611774.53
1770944660,2026-02-13T09:04:20.060338,0.0075,0.008,0.007,0.001,3819833.12,611774.53
1770944722,2026-02-13T09:05:22.144151,0.0075,0.008,0.007,0.001,3819833.12,611774.53
1770944783,2026-02-13T09:06:23.300345,0.0075,0.008,0.007,0.001,3819841.35,611774.53
1770944845,2026-02-13T09:07:25.296274,0.0075,0.008,0.007,0.001,3819841.35,611774.53
1770944902,2026-02-13T09:08:22.331635,0.0075,0.008,0.007,0.001,3819825.23,611631.98
1770944963,2026-02-13T09:09:23.143419,0.0075,0.008,0.007,0.001,3819825.23,611682.38
1770945022,2026-02-13T09:10:22.334944,0.0075,0.008,0.007,0.001,3819825.23,611488.83
1770945081,2026-02-13T09:11:21.286672,0.0075,0.008,0.007,0.001,3819825.23,611488.83
1770945143,2026-02-13T09:12:23.960328,0.0075,0.008,0.007,0.001,3819807.3000000003,611519.07
1770945202,2026-02-13T09:13:22.847131,0.0075,0.008,0.007,0.001,3819791.18,611529.15
1770945263,2026-02-13T09:14:23.517579,0.0075,0.008,0.007,0.001,3819834.93,611488.83
1770945323,2026-02-13T09:15:23.288504,0.0075,0.008,0.007,0.001,3819834.93,611488.83
1770945383,2026-02-13T09:16:23.135205,0.0075,0.008,0.007,0.001,3820144.99,596531.27
1770945444,2026-02-13T09:17:24.166391,0.0075,0.008,0.007,0.001,3820144.99,596511.11
1770945503,2026-02-13T09:18:23.644816,0.0075,0.008,0.007,0.001,3825058.14,596521.19
1770945562,2026-02-13T09:19:22.823025,0.0075,0.008,0.007,0.001,3825058.14,596511.11
1770945620,2026-02-13T09:20:20.065195,0.0075,0.008,0.007,0.001,3825058.14,596581.67
1770945685,2026-02-13T09:21:25.364216,0.0075,0.008,0.007,0.001,3825058.14,596541.35
1770945742,2026-02-13T09:22:22.621867,0.0075,0.008,0.007,0.001,3825058.14,596541.35
1770945799,2026-02-13T09:23:19.219070,0.0075,0.008,0.007,0.001,3825043.31,596541.35
1770945863,2026-02-13T09:24:23.211753,0.0075,0.008,0.007,0.001,3825043.31,596511.11
1770945921,2026-02-13T09:25:21.956840,0.0075,0.008,0.007,0.001,3825043.31,596511.11
1770945979,2026-02-13T09:26:19.003514,0.0075,0.008,0.007,0.001,3825043.31,596511.11
1770946041,2026-02-13T09:27:21.136915,0.0075,0.008,0.007,0.001,3825043.31,596521.19
1770946100,2026-02-13T09:28:20.303529,0.0075,0.008,0.007,0.001,3825043.31,596521.19
1770946161,2026-02-13T09:29:21.291156,0.0075,0.008,0.007,0.001,3825043.31,596521.19
1770946221,2026-02-13T09:30:21.035261,0.0075,0.008,0.007,0.001,3825123.2800000003,596511.11
1770946280,2026-02-13T09:31:20.886955,0.0075,0.008,0.007,0.001,3825123.2800000003,596521.19
1770946341,2026-02-13T09:32:21.350694,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946399,2026-02-13T09:33:19.466067,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946461,2026-02-13T09:34:21.341159,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946521,2026-02-13T09:35:21.044000,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946581,2026-02-13T09:36:21.398363,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946641,2026-02-13T09:37:21.290592,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946700,2026-02-13T09:38:20.785846,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946761,2026-02-13T09:39:21.451061,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946820,2026-02-13T09:40:20.870954,0.0075,0.008,0.007,0.001,3825114.99,596521.19
1770946883,2026-02-13T09:41:23.791034,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770946938,2026-02-13T09:42:18.693795,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770947006,2026-02-13T09:43:26.306604,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770947061,2026-02-13T09:44:21.477725,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770947121,2026-02-13T09:45:21.433050,0.0075,0.008,0.007,0.001,3825114.99,596748.11
1770947181,2026-02-13T09:46:21.941247,0.0075,0.008,0.007,0.001,3825114.99,596748.11
1770947239,2026-02-13T09:47:19.959487,0.0075,0.008,0.007,0.001,3825114.99,596748.11
1770947302,2026-02-13T09:48:22.793801,0.0075,0.008,0.007,0.001,3825114.99,596521.19
1770947358,2026-02-13T09:49:18.630240,0.0075,0.008,0.007,0.001,3825114.99,596541.35
1770947421,2026-02-13T09:50:21.220523,0.0075,0.008,0.007,0.001,3825114.99,596521.19
1770947482,2026-02-13T09:51:22.328217,0.0075,0.008,0.007,0.001,3825114.99,596511.11
1770947541,2026-02-13T09:52:21.060177,0.0075,0.008,0.007,0.001,3825314.99,596511.11
1770947600,2026-02-13T09:53:20.022091,0.0075,0.008,0.007,0.001,3825298.87,596021.19
1770947658,2026-02-13T09:54:18.428865,0.0075,0.008,0.007,0.001,3825298.88,596031.27
1770947721,2026-02-13T09:55:21.825644,0.0075,0.008,0.007,0.001,3825298.88,596051.4299999999
1770947778,2026-02-13T09:56:18.550387,0.0075,0.008,0.007,0.001,3825398.88,595841.35
1770947840,2026-02-13T09:57:20.617979,0.0075,0.008,0.007,0.001,3825398.88,595821.19
1770947901,2026-02-13T09:58:21.339190,0.0075,0.008,0.007,0.001,3825398.8000000003,595831.27
1770947960,2026-02-13T09:59:20.081566,0.0075,0.008,0.007,0.001,2825396.17,595811.11
1770948022,2026-02-13T10:00:22.065783,0.0075,0.008,0.007,0.001,2825396.17,595611.11
1770948079,2026-02-13T10:01:19.622427,0.0075,0.008,0.007,0.001,2825396.17,595621.19
1770948141,2026-02-13T10:02:21.480765,0.0075,0.008,0.007,0.001,2826090.3000000003,595611.11
