timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944535,2026-02-13T09:02:15.830725,0.205,0.21,0.2,0.01,45394.08,26271.63
1770944596,2026-02-13T09:03:16.148804,0.185,0.19,0.18,0.01,70586.48,31723.18
1770944654,2026-02-13T09:04:14.430832,0.185,0.19,0.18,0.01,72732.38,67477.12
1770944715,2026-02-13T09:05:15.628172,0.215,0.22,0.21,0.01,88351.05,37356.0
1770944776,2026-02-13T09:06:16.011684,0.225,0.23,0.22,0.01,87722.76,48668.71
1770944836,2026-02-13T09:07:16.527367,0.225,0.23,0.22,0.01,65513.86,37000.9
1770944895,2026-02-13T09:08:15.217944,0.215,0.22,0.21,0.01,64265.82,33076.8
1770944955,2026-02-13T09:09:15.508620,0.265,0.27,0.26,0.01,21581.68,20252.55
1770945015,2026-02-13T09:10:15.957896,0.275,0.28,0.27,0.01,42855.28,29495.64
1770945075,2026-02-13T09:11:15.375443,0.275,0.28,0.27,0.01,58263.68,29556.760000000002
1770945136,2026-02-13T09:12:16.635365,0.265,0.27,0.26,0.01,61254.9,29961.0
1770945195,2026-02-13T09:13:15.482546,0.265,0.27,0.26,0.01,88644.08,34237.41
1770945256,2026-02-13T09:14:16.299870,0.245,0.25,0.24,0.01,32083.16,15851.27
1770945315,2026-02-13T09:15:15.946696,0.265,0.28,0.27,0.01,52267.66,16756.73
1770945375,2026-02-13T09:16:15.705220,0.275,0.28,0.27,0.01,80561.3,47895.7
1770945436,2026-02-13T09:17:16.935765,0.265,0.27,0.26,0.01,80092.01,39679.89
1770945496,2026-02-13T09:18:16.080472,0.265,0.27,0.26,0.01,86601.42,37516.17
1770945555,2026-02-13T09:19:15.923785,0.265,0.27,0.26,0.01,77354.11,23652.59
1770945614,2026-02-13T09:20:14.227270,0.315,0.32,0.31,0.01,61895.71,22603.0
1770945675,2026-02-13T09:21:15.022776,0.315,0.32,0.31,0.01,34739.14,24099.25
1770945735,2026-02-13T09:22:15.291841,0.265,0.27,0.26,0.01,23372.420000000002,26766.760000000002
1770945793,2026-02-13T09:23:13.283228,0.205,0.21,0.2,0.01,69485.45,20565.26
1770945855,2026-02-13T09:24:15.989656,0.215,0.22,0.21,0.01,86894.92,117326.23
1770945914,2026-02-13T09:25:14.583782,0.205,0.21,0.2,0.01,151151.34,116543.70000000001
1770945973,2026-02-13T09:26:13.570154,0.215,0.22,0.21,0.01,53150.99,43320.77
1770946033,2026-02-13T09:27:13.087715,0.245,0.25,0.24,0.01,46073.23,4524.95
1770946093,2026-02-13T09:28:13.507218,0.195,0.21,0.19,0.01,59815.100000000006,21710.93
1770946153,2026-02-13T09:29:13.757143,0.285,0.29,0.28,0.01,47242.73,16108.0
1770946213,2026-02-13T09:30:13.858361,0.325,0.34,0.32,0.01,58445.2,82869.55
1770946273,2026-02-13T09:31:13.652457,0.415,0.42,0.41,0.01,33413.72,4375.2
1770946333,2026-02-13T09:32:13.728345,0.425,0.43,0.42,0.01,87999.77,24509.08
1770946393,2026-02-13T09:33:13.327356,0.475,0.48,0.47,0.01,69174.14,20330.35
1770946453,2026-02-13T09:34:13.967008,0.525,0.53,0.52,0.01,51464.65,12038.300000000001
1770946513,2026-02-13T09:35:13.640744,0.575,0.58,0.57,0.01,59823.27,21452.25
1770946573,2026-02-13T09:36:13.735603,0.565,0.57,0.56,0.01,48106.0,21081.66
1770946633,2026-02-13T09:37:13.686164,0.595,0.6,0.59,0.01,26543.51,33926.71
1770946693,2026-02-13T09:38:13.476763,0.635,0.62,0.61,0.02,25409.010000000002,33350.74
1770946753,2026-02-13T09:39:13.703582,0.575,0.58,0.57,0.01,61763.18,64277.78
1770946813,2026-02-13T09:40:13.933876,0.565,0.57,0.56,0.01,37083.28,68272.98999999999
1770946875,2026-02-13T09:41:15.619342,0.545,0.55,0.54,0.01,27243.91,33998.24
