timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944550,2026-02-13T09:02:30.477743,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770944610,2026-02-13T09:03:30.719271,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770944665,2026-02-13T09:04:25.604335,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770944728,2026-02-13T09:05:28.154979,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770944790,2026-02-13T09:06:30.641485,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770944852,2026-02-13T09:07:32.388099,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770944909,2026-02-13T09:08:29.047485,0.0075,0.008,0.007,0.001,3711373.89,596131.42
1770944970,2026-02-13T09:09:30.423940,0.0075,0.008,0.007,0.001,3711273.89,596131.42
1770945028,2026-02-13T09:10:28.278754,0.0075,0.008,0.007,0.001,3711273.89,596131.42
1770945088,2026-02-13T09:11:28.076638,0.0075,0.008,0.007,0.001,3711273.89,596131.42
1770945151,2026-02-13T09:12:31.414817,0.0075,0.008,0.007,0.001,3711273.89,596131.42
1770945210,2026-02-13T09:13:30.165159,0.0075,0.008,0.007,0.001,3710589.72,596131.42
1770945271,2026-02-13T09:14:31.029731,0.0075,0.008,0.007,0.001,3710589.72,596131.42
1770945330,2026-02-13T09:15:30.679053,0.0075,0.008,0.007,0.001,3711373.89,596131.42
1770945390,2026-02-13T09:16:30.485092,0.0075,0.008,0.007,0.001,3711373.89,596131.42
1770945451,2026-02-13T09:17:31.476822,0.0075,0.008,0.007,0.001,3711373.89,596131.42
1770945510,2026-02-13T09:18:30.926595,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945569,2026-02-13T09:19:29.778467,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945625,2026-02-13T09:20:25.633646,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945690,2026-02-13T09:21:30.886475,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945749,2026-02-13T09:22:29.729362,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945804,2026-02-13T09:23:24.890098,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945870,2026-02-13T09:24:30.313958,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945929,2026-02-13T09:25:29.283654,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770945984,2026-02-13T09:26:24.659102,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770946047,2026-02-13T09:27:27.440231,0.0075,0.008,0.007,0.001,3711473.89,596131.42
1770946108,2026-02-13T09:28:28.964767,0.0075,0.008,0.007,0.001,3711473.89,596648.02
1770946168,2026-02-13T09:29:28.573478,0.0075,0.008,0.007,0.001,3711473.89,596648.02
1770946228,2026-02-13T09:30:28.967372,0.0075,0.008,0.007,0.001,3711473.89,596648.02
1770946288,2026-02-13T09:31:28.272235,0.0075,0.008,0.007,0.001,3711473.89,596648.02
1770946348,2026-02-13T09:32:28.053771,0.0075,0.008,0.007,0.001,3711473.89,596648.02
1770946405,2026-02-13T09:33:25.669888,0.0075,0.008,0.007,0.001,3711473.89,596648.02
1770946468,2026-02-13T09:34:28.619487,0.0075,0.008,0.007,0.001,3709640.23,596648.02
1770946528,2026-02-13T09:35:28.153243,0.0075,0.008,0.007,0.001,3709640.23,594956.02
1770946589,2026-02-13T09:36:29.500356,0.0075,0.008,0.007,0.001,3702114.23,594100.02
1770946649,2026-02-13T09:37:29.712099,0.0075,0.008,0.007,0.001,3702114.23,594100.02
1770946708,2026-02-13T09:38:28.072474,0.0075,0.008,0.007,0.001,3702114.23,594100.02
1770946769,2026-02-13T09:39:29.147336,0.0075,0.008,0.007,0.001,3702114.23,612748.02
1770946829,2026-02-13T09:40:29.303098,0.0075,0.008,0.007,0.001,3700597.72,612748.02
