timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944537,2026-02-13T09:02:17.703120,0.0015,0.002,0.001,0.001,103533.65,84202.08
1770944597,2026-02-13T09:03:17.797428,0.0015,0.002,0.001,0.001,103533.65,84202.08
1770944655,2026-02-13T09:04:15.812638,0.0015,0.002,0.001,0.001,103533.65,84702.08
1770944717,2026-02-13T09:05:17.242850,0.0015,0.002,0.001,0.001,124382.64,84697.11
1770944777,2026-02-13T09:06:17.767601,0.0015,0.002,0.001,0.001,124303.61,84697.11
1770944838,2026-02-13T09:07:18.489478,0.0015,0.002,0.001,0.001,119783.5,84697.11
1770944897,2026-02-13T09:08:17.016232,0.0015,0.002,0.001,0.001,119783.5,84858.92
1770944957,2026-02-13T09:09:17.349498,0.0015,0.002,0.001,0.001,119783.5,84772.67
1770945017,2026-02-13T09:10:17.408030,0.0015,0.002,0.001,0.001,119083.5,84072.67
1770945076,2026-02-13T09:11:16.812713,0.0015,0.002,0.001,0.001,119083.5,78863.96
1770945138,2026-02-13T09:12:18.606000,0.0015,0.002,0.001,0.001,119083.5,78863.96
1770945197,2026-02-13T09:13:17.834301,0.0015,0.002,0.001,0.001,117819.23,78863.96
1770945258,2026-02-13T09:14:18.282523,0.0015,0.002,0.001,0.001,117819.23,73863.96
1770945317,2026-02-13T09:15:17.839244,0.0015,0.002,0.001,0.001,117819.23,73863.96
1770945377,2026-02-13T09:16:17.612360,0.0015,0.002,0.001,0.001,117819.23,72863.96
1770945438,2026-02-13T09:17:18.797555,0.0015,0.002,0.001,0.001,114819.23,72863.96
1770945497,2026-02-13T09:18:17.749313,0.0015,0.002,0.001,0.001,114819.23,72863.96
1770945557,2026-02-13T09:19:17.804643,0.0015,0.002,0.001,0.001,114819.23,72863.96
1770945615,2026-02-13T09:20:15.923363,0.0015,0.002,0.001,0.001,114819.23,72863.96
1770945676,2026-02-13T09:21:16.694090,0.0015,0.002,0.001,0.001,113148.09,73863.96
1770945737,2026-02-13T09:22:17.030949,0.0015,0.002,0.001,0.001,113148.09,73863.96
1770945794,2026-02-13T09:23:14.653094,0.0015,0.002,0.001,0.001,113148.09,73863.96
1770945857,2026-02-13T09:24:17.949336,0.0015,0.002,0.001,0.001,113148.09,73863.96
1770945916,2026-02-13T09:25:16.285978,0.0015,0.002,0.001,0.001,113148.09,73862.94
1770945974,2026-02-13T09:26:14.876238,0.0015,0.002,0.001,0.001,112648.09,73256.85
1770946034,2026-02-13T09:27:14.979957,0.0015,0.002,0.001,0.001,112648.09,73256.85
1770946095,2026-02-13T09:28:15.345712,0.0015,0.002,0.001,0.001,112648.09,73256.85
1770946155,2026-02-13T09:29:15.580660,0.0015,0.002,0.001,0.001,112648.09,73255.85
1770946215,2026-02-13T09:30:15.608577,0.0015,0.002,0.001,0.001,112648.09,73254.82
1770946275,2026-02-13T09:31:15.492406,0.0015,0.002,0.001,0.001,112648.09,73254.82
1770946335,2026-02-13T09:32:15.559551,0.0015,0.002,0.001,0.001,112628.07,73254.82
1770946394,2026-02-13T09:33:14.891367,0.0015,0.002,0.001,0.001,112628.07,73254.82
1770946455,2026-02-13T09:34:15.959408,0.0015,0.002,0.001,0.001,112628.07,73754.82
1770946515,2026-02-13T09:35:15.256841,0.0015,0.002,0.001,0.001,112949.34,73754.82
1770946575,2026-02-13T09:36:15.711081,0.0015,0.002,0.001,0.001,110178.84,73152.82
1770946635,2026-02-13T09:37:15.719412,0.0015,0.002,0.001,0.001,109394.67,73152.82
1770946695,2026-02-13T09:38:15.318081,0.0015,0.002,0.001,0.001,109394.67,73152.82
1770946755,2026-02-13T09:39:15.597313,0.0015,0.002,0.001,0.001,109394.67,73152.82
1770946815,2026-02-13T09:40:15.643380,0.0015,0.002,0.001,0.001,109394.67,73152.82
1770946877,2026-02-13T09:41:17.506252,0.0015,0.002,0.001,0.001,109186.61,72944.77
1770946934,2026-02-13T09:42:14.221787,0.0015,0.002,0.001,0.001,109186.61,72444.77
1770946999,2026-02-13T09:43:19.995828,0.0015,0.002,0.001,0.001,109186.61,72444.77
1770947055,2026-02-13T09:44:15.754399,0.0015,0.002,0.001,0.001,109186.61,72444.77
1770947115,2026-02-13T09:45:15.856956,0.0015,0.002,0.001,0.001,109186.61,72007.95
1770947176,2026-02-13T09:46:16.622568,0.0015,0.002,0.001,0.001,109186.61,72007.95
1770947235,2026-02-13T09:47:15.419941,0.0015,0.002,0.001,0.001,108765.22,70507.95
1770947295,2026-02-13T09:48:15.219095,0.0015,0.002,0.001,0.001,108674.25,70466.12
1770947354,2026-02-13T09:49:14.436740,0.0015,0.002,0.001,0.001,108674.25,70466.12
1770947415,2026-02-13T09:50:15.621668,0.0015,0.002,0.001,0.001,107404.85,70466.12
1770947476,2026-02-13T09:51:16.807781,0.0015,0.002,0.001,0.001,107403.07,70466.12
1770947535,2026-02-13T09:52:15.412612,0.0015,0.002,0.001,0.001,107403.07,70466.12
