timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944546,2026-02-13T09:02:26.680628,0.047,0.048,0.046,0.002,2850.04,861.81
1770944607,2026-02-13T09:03:27.112587,0.0485,0.049,0.048,0.001,1818.25,1563.26
1770944662,2026-02-13T09:04:22.834267,0.0485,0.049,0.048,0.001,1818.25,2105.8
1770944725,2026-02-13T09:05:25.226693,0.0485,0.049,0.048,0.001,891.28,2430.13
1770944786,2026-02-13T09:06:26.814796,0.0485,0.049,0.048,0.001,842.49,2644.2
1770944848,2026-02-13T09:07:28.536995,0.0485,0.049,0.048,0.001,842.49,2410.59
1770944906,2026-02-13T09:08:26.246891,0.0485,0.049,0.048,0.001,878.41,2557.08
1770944966,2026-02-13T09:09:26.815749,0.0485,0.049,0.048,0.001,900.95,2390.09
1770945025,2026-02-13T09:10:25.228133,0.0485,0.049,0.048,0.001,905.95,2373.69
1770945084,2026-02-13T09:11:24.876178,0.0485,0.049,0.048,0.001,926.34,1964.69
1770945147,2026-02-13T09:12:27.544523,0.048,0.049,0.047,0.002,2847.73,2080.59
1770945206,2026-02-13T09:13:26.542887,0.0475,0.048,0.047,0.001,2847.73,898.0699999999999
1770945267,2026-02-13T09:14:27.286075,0.047,0.048,0.047,0.002,2697.94,666.13
1770945327,2026-02-13T09:15:27.142787,0.0475,0.048,0.047,0.001,2697.94,809.13
1770945386,2026-02-13T09:16:26.925282,0.047,0.048,0.046,0.002,3015.96,682.54
1770945447,2026-02-13T09:17:27.634651,0.047,0.048,0.046,0.002,3015.96,970.51
1770945507,2026-02-13T09:18:27.096887,0.0465,0.047,0.046,0.001,3065.85,568.73
1770945566,2026-02-13T09:19:26.493656,0.047,0.048,0.046,0.002,2894.02,935.32
1770945622,2026-02-13T09:20:22.818173,0.047,0.048,0.046,0.002,2996.13,924.53
1770945688,2026-02-13T09:21:28.071895,0.047,0.048,0.046,0.002,2992.07,942.53
1770945746,2026-02-13T09:22:26.071239,0.047,0.048,0.046,0.002,3056.94,938.48
1770945802,2026-02-13T09:23:22.029009,0.048,0.049,0.047,0.002,2934.94,1851.92
1770945866,2026-02-13T09:24:26.560499,0.0485,0.049,0.048,0.001,1934.1100000000001,1803.27
1770945925,2026-02-13T09:25:25.422226,0.0485,0.049,0.048,0.001,2080.08,1946.27
1770945981,2026-02-13T09:26:21.824396,0.0485,0.049,0.048,0.001,2032.21,1952.05
1770946044,2026-02-13T09:27:24.293788,0.0485,0.049,0.048,0.001,2080.08,1828.04
1770946105,2026-02-13T09:28:25.157362,0.0485,0.049,0.048,0.001,1834.17,1797.26
1770946164,2026-02-13T09:29:24.849147,0.0485,0.049,0.048,0.001,2061.96,1899.03
1770946224,2026-02-13T09:30:24.957358,0.0485,0.049,0.048,0.001,2061.96,1776.0500000000002
1770946284,2026-02-13T09:31:24.490395,0.0485,0.049,0.048,0.001,2061.96,1820.0500000000002
1770946344,2026-02-13T09:32:24.476999,0.0485,0.049,0.048,0.001,2061.96,1820.0500000000002
1770946402,2026-02-13T09:33:22.557279,0.0485,0.049,0.048,0.001,2061.96,1908.5
1770946464,2026-02-13T09:34:24.786049,0.0485,0.049,0.048,0.001,2093.84,1908.5
1770946524,2026-02-13T09:35:24.616522,0.0485,0.049,0.048,0.001,2087.37,1793.5
1770946585,2026-02-13T09:36:25.978572,0.0485,0.049,0.048,0.001,2087.37,1778.5
1770946644,2026-02-13T09:37:24.952840,0.0485,0.049,0.048,0.001,2087.37,1781.5
1770946704,2026-02-13T09:38:24.498632,0.0485,0.049,0.048,0.001,2087.37,1805.09
1770946765,2026-02-13T09:39:25.861221,0.0485,0.049,0.048,0.001,2087.37,1805.09
1770946825,2026-02-13T09:40:25.302284,0.0485,0.049,0.048,0.001,2087.37,1805.09
1770946887,2026-02-13T09:41:27.290437,0.0485,0.049,0.048,0.001,2087.37,1805.09
1770946941,2026-02-13T09:42:21.630091,0.0485,0.049,0.048,0.001,2087.37,1805.09
1770947009,2026-02-13T09:43:29.622898,0.0485,0.049,0.048,0.001,1965.75,1749.55
1770947065,2026-02-13T09:44:25.447353,0.0485,0.049,0.048,0.001,2087.36,1749.55
1770947124,2026-02-13T09:45:24.538717,0.0485,0.049,0.048,0.001,2087.36,1759.55
