timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944534,2026-02-13T09:02:14.048124,0.0005,0.001,0.0,0.001,0,978905.8300000001
1770944594,2026-02-13T09:03:14.157858,0.0005,0.001,0.0,0.001,0,978905.8300000001
1770944653,2026-02-13T09:04:13.059042,0.0005,0.001,0.0,0.001,0,978905.8300000001
1770944713,2026-02-13T09:05:13.889696,0.0005,0.001,0.0,0.001,0,978905.8300000001
1770944774,2026-02-13T09:06:14.297814,0.0005,0.001,0.0,0.001,0,978905.8300000001
1770944834,2026-02-13T09:07:14.746800,0.0005,0.001,0.0,0.001,0,976006.8300000001
1770944893,2026-02-13T09:08:13.821421,0.0005,0.001,0.0,0.001,0,978805.8300000001
1770944953,2026-02-13T09:09:13.815512,0.0005,0.001,0.0,0.001,0,998805.8300000001
1770945014,2026-02-13T09:10:14.506668,0.0005,0.001,0.0,0.001,0,997830.8300000001
1770945073,2026-02-13T09:11:13.644513,0.0005,0.001,0.0,0.001,0,997830.8300000001
1770945134,2026-02-13T09:12:14.659428,0.0005,0.001,0.0,0.001,0,997833.4500000001
1770945193,2026-02-13T09:13:13.943790,0.0005,0.001,0.0,0.001,0,997838.4600000001
1770945254,2026-02-13T09:14:14.315621,0.0005,0.001,0.0,0.001,0,997838.4600000001
1770945314,2026-02-13T09:15:14.101451,0.0005,0.001,0.0,0.001,0,997815.4600000001
1770945374,2026-02-13T09:16:14.140044,0.0005,0.001,0.0,0.001,0,995794.4600000001
1770945434,2026-02-13T09:17:14.990772,0.0005,0.001,0.0,0.001,0,993806.4600000001
1770945494,2026-02-13T09:18:14.132859,0.0005,0.001,0.0,0.001,0,1038836.4600000001
1770945554,2026-02-13T09:19:14.309357,0.0005,0.001,0.0,0.001,0,1038836.4600000001
1770945612,2026-02-13T09:20:12.840470,0.0005,0.001,0.0,0.001,0,1038836.4600000001
