timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770944541,2026-02-13T09:02:21.562630,0.9435,0.944,0.943,0.001,42214.94,69809.11
1770944601,2026-02-13T09:03:21.494593,0.9435,0.944,0.943,0.001,48491.41,69819.11
1770944658,2026-02-13T09:04:18.630483,0.944,0.945,0.943,0.002,48567.87,76064.61
1770944720,2026-02-13T09:05:20.535599,0.944,0.945,0.943,0.002,48467.87,82314.61
1770944781,2026-02-13T09:06:21.241815,0.9425,0.944,0.941,0.003,58971.71,69817.53
1770944842,2026-02-13T09:07:22.800127,0.943,0.944,0.942,0.002,48577.87,69917.53
1770944900,2026-02-13T09:08:20.543814,0.9425,0.943,0.942,0.001,48607.87,17862.62
1770944961,2026-02-13T09:09:21.215250,0.9415,0.942,0.941,0.001,59071.71,17822.62
1770945020,2026-02-13T09:10:20.743512,0.9415,0.942,0.941,0.001,59026.91,9228.36
1770945079,2026-02-13T09:11:19.865384,0.9415,0.942,0.941,0.001,58926.91,9288.41
1770945142,2026-02-13T09:12:22.227471,0.9435,0.944,0.943,0.001,48454.36,62191.76
1770945201,2026-02-13T09:13:21.157335,0.9435,0.944,0.943,0.001,48423.07,62472.71
1770945261,2026-02-13T09:14:21.668789,0.944,0.945,0.943,0.002,48523.07,68679.77
1770945321,2026-02-13T09:15:21.229840,0.9415,0.942,0.941,0.001,59026.91,10664.36
1770945381,2026-02-13T09:16:21.313577,0.943,0.944,0.942,0.002,49461.05,63077.689999999995
1770945442,2026-02-13T09:17:22.395663,0.943,0.944,0.942,0.002,49514.28,62666.689999999995
1770945502,2026-02-13T09:18:22.029848,0.943,0.944,0.942,0.002,49514.28,62616.689999999995
1770945561,2026-02-13T09:19:21.219513,0.943,0.944,0.942,0.002,49514.28,62716.689999999995
1770945618,2026-02-13T09:20:18.727359,0.943,0.944,0.942,0.002,49467.89,62669.299999999996
1770945740,2026-02-13T09:22:20.620992,0.944,0.945,0.943,0.002,43522.36,68973.38
1770945797,2026-02-13T09:23:17.519865,0.944,0.945,0.943,0.002,43373.33,69054.38
1770945861,2026-02-13T09:24:21.353009,0.944,0.945,0.943,0.002,43303.340000000004,69054.38
1770945920,2026-02-13T09:25:20.028938,0.944,0.945,0.943,0.002,43303.340000000004,68905.38
1770945977,2026-02-13T09:26:17.542152,0.944,0.945,0.943,0.002,43963.89,68914.29
1770946039,2026-02-13T09:27:19.541951,0.944,0.945,0.943,0.002,43963.89,68865.29
1770946098,2026-02-13T09:28:18.853025,0.944,0.945,0.943,0.002,43962.89,75064.04
