timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770991010,2026-02-13T21:56:50.673412,0.002,0.003,0.001,0.002,3824829.63,249399.23
1770991468,2026-02-13T22:04:28.946383,0.002,0.003,0.001,0.002,3824829.63,249399.23
1770991530,2026-02-13T22:05:30.024786,0.002,0.003,0.001,0.002,3824829.63,249399.23
1770991589,2026-02-13T22:06:29.713789,0.002,0.003,0.001,0.002,3824829.63,249399.23
1770991649,2026-02-13T22:07:29.733576,0.002,0.003,0.001,0.002,3824629.63,249399.23
1770991709,2026-02-13T22:08:29.678268,0.002,0.003,0.001,0.002,3824629.63,247842.56
1770991769,2026-02-13T22:09:29.931624,0.002,0.003,0.001,0.002,3824629.63,247175.89
1770991829,2026-02-13T22:10:29.695023,0.002,0.003,0.001,0.002,3824629.63,247850.87
1770991889,2026-02-13T22:11:29.700815,0.002,0.003,0.001,0.002,3824606.63,246294.2
1770991949,2026-02-13T22:12:29.468283,0.002,0.003,0.001,0.002,3824606.63,246294.2
1770992009,2026-02-13T22:13:29.398496,0.002,0.003,0.001,0.002,3824606.63,246294.2
1770992069,2026-02-13T22:14:29.545896,0.002,0.003,0.001,0.002,3824599.62,244737.53
1770992129,2026-02-13T22:15:29.716056,0.002,0.003,0.001,0.002,3824599.62,245412.53
1770992189,2026-02-13T22:16:29.453767,0.002,0.003,0.001,0.002,3824599.62,245412.53
1770992249,2026-02-13T22:17:29.512387,0.002,0.003,0.001,0.002,3824599.62,245412.53
1770992309,2026-02-13T22:18:29.668609,0.002,0.003,0.001,0.002,3824599.62,245412.53
1770992369,2026-02-13T22:19:29.674948,0.002,0.003,0.001,0.002,3824599.62,246156.03
1770992429,2026-02-13T22:20:29.729251,0.002,0.003,0.001,0.002,3824599.62,246156.03
1770992489,2026-02-13T22:21:29.729099,0.002,0.003,0.001,0.002,3824599.62,246156.03
1770992549,2026-02-13T22:22:29.703347,0.002,0.003,0.001,0.002,3824599.62,246156.03
