timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770991001,2026-02-13T21:56:41.670045,0.0055,0.006,0.005,0.001,1231596.41,272082.03
1770991460,2026-02-13T22:04:20.508171,0.0055,0.006,0.005,0.001,1226491.97,261224.78
1770991520,2026-02-13T22:05:20.699387,0.0055,0.006,0.005,0.001,1225757.25,264847.78
1770991580,2026-02-13T22:06:20.942077,0.0055,0.006,0.005,0.001,1225757.25,262154.29000000004
1770991640,2026-02-13T22:07:20.752391,0.0055,0.006,0.005,0.001,1224250.05,262144.22000000003
1770991700,2026-02-13T22:08:20.911346,0.0055,0.006,0.005,0.001,1233948.6,261790.74
1770991760,2026-02-13T22:09:20.907092,0.0055,0.006,0.005,0.001,1133757.34,261624.07
1770991820,2026-02-13T22:10:20.700984,0.0055,0.006,0.005,0.001,1132976.87,261674.41999999998
1770991880,2026-02-13T22:11:20.892882,0.0055,0.006,0.005,0.001,1132530.14,260614.0
1770991940,2026-02-13T22:12:20.654834,0.0055,0.006,0.005,0.001,1132387.29,263347.77
1770992000,2026-02-13T22:13:20.671103,0.0055,0.006,0.005,0.001,1130825.14,259967.47
1770992060,2026-02-13T22:14:20.725410,0.0055,0.006,0.005,0.001,1130010.52,259957.4
1770992120,2026-02-13T22:15:20.919734,0.0055,0.006,0.005,0.001,1127144.66,262681.1
1770992180,2026-02-13T22:16:20.692343,0.0055,0.006,0.005,0.001,1126477.38,262681.1
1770992240,2026-02-13T22:17:20.920863,0.0055,0.006,0.005,0.001,1125679.62,259977.54
1770992300,2026-02-13T22:18:20.731141,0.0055,0.006,0.005,0.001,1124986.75,259954.57
1770992360,2026-02-13T22:19:20.694772,0.0055,0.006,0.005,0.001,1124241.82,262678.58
1770992420,2026-02-13T22:20:20.879595,0.0055,0.006,0.005,0.001,1123809.63,262627.58
1770992480,2026-02-13T22:21:20.898844,0.0055,0.006,0.005,0.001,1123351.09,261794.24
1770992540,2026-02-13T22:22:20.915102,0.0055,0.006,0.005,0.001,1122619.29,261794.24
