timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770990995,2026-02-13T21:56:35.762787,0.283,0.285,0.281,0.004,1823.65,2213.63
1770991454,2026-02-13T22:04:14.773923,0.2675,0.272,0.263,0.009,3208.23,2917.55
1770991514,2026-02-13T22:05:14.847174,0.2665,0.269,0.264,0.005,3200.92,4589.54
1770991574,2026-02-13T22:06:14.886254,0.267,0.269,0.265,0.004,4641.7,3997.49
1770991634,2026-02-13T22:07:14.899854,0.268,0.269,0.267,0.002,8009.91,3723.14
1770991694,2026-02-13T22:08:14.893491,0.2685,0.27,0.267,0.003,7949.91,4548.32
1770991754,2026-02-13T22:09:14.948203,0.2685,0.27,0.267,0.003,7958.54,3692.2799999999997
1770991814,2026-02-13T22:10:14.870405,0.268,0.269,0.267,0.002,6955.77,5597.82
1770991874,2026-02-13T22:11:14.902714,0.268,0.269,0.267,0.002,6468.67,6058.4400000000005
1770991934,2026-02-13T22:12:14.913883,0.268,0.269,0.267,0.002,6919.8,5631.860000000001
1770991994,2026-02-13T22:13:14.888528,0.2675,0.268,0.267,0.001,7065.55,3795.63
1770992054,2026-02-13T22:14:14.904452,0.263,0.264,0.262,0.002,6897.11,3461.6
1770992114,2026-02-13T22:15:14.941748,0.263,0.266,0.26,0.006,13664.62,3569.8
1770992174,2026-02-13T22:16:14.889381,0.2615,0.265,0.258,0.007,3273.31,4898.87
1770992234,2026-02-13T22:17:14.918005,0.262,0.265,0.259,0.006,2675.0,2992.03
1770992294,2026-02-13T22:18:14.963523,0.262,0.265,0.259,0.006,2670.95,4344.68
1770992354,2026-02-13T22:19:14.890965,0.2565,0.258,0.255,0.003,5661.91,1934.73
1770992414,2026-02-13T22:20:14.916119,0.253,0.258,0.248,0.01,10877.23,3743.15
1770992474,2026-02-13T22:21:14.918339,0.252,0.259,0.245,0.014,4295.35,4375.17
1770992534,2026-02-13T22:22:14.945727,0.258,0.268,0.248,0.02,2209.5,2242.79
