timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770990997,2026-02-13T21:56:37.244026,0.0025,0.003,0.002,0.001,2528119.8400000003,89306.5
1770991456,2026-02-13T22:04:16.227165,0.0025,0.003,0.002,0.001,2528104.81,89438.49
1770991516,2026-02-13T22:05:16.305789,0.0025,0.003,0.002,0.001,2528104.81,89328.17
1770991576,2026-02-13T22:06:16.390553,0.0025,0.003,0.002,0.001,2526949.81,88213.25
1770991636,2026-02-13T22:07:16.444232,0.0025,0.003,0.002,0.001,2526949.81,88203.23
1770991696,2026-02-13T22:08:16.486607,0.0025,0.003,0.002,0.001,2526949.81,88193.21
1770991756,2026-02-13T22:09:16.445161,0.0025,0.003,0.002,0.001,2526891.68,88183.32
1770991816,2026-02-13T22:10:16.306415,0.0025,0.003,0.002,0.001,2524391.68,88233.47
1770991876,2026-02-13T22:11:16.409955,0.0025,0.003,0.002,0.001,2524391.68,88183.32
1770991936,2026-02-13T22:12:16.323241,0.0025,0.003,0.002,0.001,2524391.68,88477.05
1770991996,2026-02-13T22:13:16.317853,0.0025,0.003,0.002,0.001,2524391.68,88496.49
1770992056,2026-02-13T22:14:16.490762,0.0025,0.003,0.002,0.001,2524391.68,88486.47
1770992116,2026-02-13T22:15:16.484305,0.0025,0.003,0.002,0.001,2524391.68,88476.45
1770992176,2026-02-13T22:16:16.313029,0.0025,0.003,0.002,0.001,2524391.68,88476.45
1770992236,2026-02-13T22:17:16.445102,0.0025,0.003,0.002,0.001,2524291.68,88506.51
1770992296,2026-02-13T22:18:16.371728,0.0025,0.003,0.002,0.001,2524291.68,88486.47
1770992356,2026-02-13T22:19:16.351657,0.0025,0.003,0.002,0.001,2524290.47,88476.45
1770992416,2026-02-13T22:20:16.439991,0.0025,0.003,0.002,0.001,2524290.47,88436.75
1770992476,2026-02-13T22:21:16.444039,0.0025,0.003,0.002,0.001,2524290.47,88436.75
1770992536,2026-02-13T22:22:16.464673,0.0025,0.003,0.002,0.001,2524290.47,88436.75
