timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770991003,2026-02-13T21:56:43.236128,0.9995,1.0,0.999,0.001,601102.52,0
1770991461,2026-02-13T22:04:21.924503,0.9995,1.0,0.999,0.001,601192.52,0
1770991522,2026-02-13T22:05:22.236663,0.9995,1.0,0.999,0.001,601192.52,0
1770991582,2026-02-13T22:06:22.369791,0.9995,1.0,0.999,0.001,601192.52,0
1770991642,2026-02-13T22:07:22.246310,0.9995,1.0,0.999,0.001,601192.52,0
1770991702,2026-02-13T22:08:22.325262,0.9995,1.0,0.999,0.001,601192.52,0
1770991762,2026-02-13T22:09:22.445317,0.9995,1.0,0.999,0.001,601192.52,0
1770991822,2026-02-13T22:10:22.228415,0.9995,1.0,0.999,0.001,601192.52,0
1770991882,2026-02-13T22:11:22.308276,0.9995,1.0,0.999,0.001,601192.52,0
1770991942,2026-02-13T22:12:22.090128,0.9995,1.0,0.999,0.001,601192.52,0
1770992002,2026-02-13T22:13:22.223094,0.9995,1.0,0.999,0.001,601192.52,0
1770992062,2026-02-13T22:14:22.218059,0.9995,1.0,0.999,0.001,601192.52,0
1770992122,2026-02-13T22:15:22.454468,0.9995,1.0,0.999,0.001,551177.52,0
1770992182,2026-02-13T22:16:22.114217,0.9995,1.0,0.999,0.001,551177.52,0
1770992242,2026-02-13T22:17:22.327882,0.9995,1.0,0.999,0.001,551177.52,0
1770992302,2026-02-13T22:18:22.216430,0.9995,1.0,0.999,0.001,551177.52,0
1770992362,2026-02-13T22:19:22.228851,0.9995,1.0,0.999,0.001,551177.52,0
1770992422,2026-02-13T22:20:22.325702,0.9995,1.0,0.999,0.001,551177.52,0
1770992482,2026-02-13T22:21:22.388315,0.9995,1.0,0.999,0.001,551177.52,0
1770992542,2026-02-13T22:22:22.309928,0.9995,1.0,0.999,0.001,551177.52,0
