timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770990998,2026-02-13T21:56:38.684657,0.0305,0.031,0.03,0.001,144257.64,96449.6
1770991457,2026-02-13T22:04:17.673406,0.0315,0.032,0.031,0.001,118697.7,165154.62
1770991517,2026-02-13T22:05:17.736834,0.0325,0.033,0.032,0.001,107970.39,234193.86
1770991577,2026-02-13T22:06:17.937068,0.0325,0.033,0.032,0.001,107960.39,230782.95
1770991637,2026-02-13T22:07:17.909041,0.032,0.033,0.031,0.002,124161.49,235730.55
1770991697,2026-02-13T22:08:17.952491,0.032,0.033,0.031,0.002,129167.19,234974.1
1770991757,2026-02-13T22:09:17.956472,0.0315,0.032,0.031,0.001,119528.39,161503.41999999998
1770991817,2026-02-13T22:10:17.716466,0.0325,0.033,0.032,0.001,118347.04000000001,234689.71
1770991877,2026-02-13T22:11:17.926003,0.0325,0.033,0.032,0.001,117097.04000000001,234899.87
1770991937,2026-02-13T22:12:17.716491,0.0325,0.033,0.032,0.001,114700.44,239017.98
1770991997,2026-02-13T22:13:17.724975,0.0325,0.033,0.032,0.001,109660.67,231506.93
1770992057,2026-02-13T22:14:17.873569,0.0325,0.033,0.032,0.001,111721.09,228176.32
1770992118,2026-02-13T22:15:18.057460,0.0325,0.033,0.032,0.001,112793.68000000001,222230.72
1770992177,2026-02-13T22:16:17.717173,0.0335,0.034,0.033,0.001,190035.01,290107.61
1770992237,2026-02-13T22:17:17.888403,0.0335,0.034,0.033,0.001,322825.01,289682.9
1770992297,2026-02-13T22:18:17.908302,0.0335,0.034,0.033,0.001,322507.03,289508.12
1770992357,2026-02-13T22:19:17.776815,0.0335,0.034,0.033,0.001,302581.89,289413.62
1770992417,2026-02-13T22:20:17.945782,0.0335,0.034,0.033,0.001,302571.89,289413.6
1770992477,2026-02-13T22:21:17.928886,0.0335,0.034,0.033,0.001,303821.89,289413.6
1770992537,2026-02-13T22:22:17.937869,0.0335,0.034,0.033,0.001,303834.29000000004,289753.34
