timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770991009,2026-02-13T21:56:49.243671,0.7465,0.749,0.745,0.004,228.10999999999999,786.1800000000001
1770991467,2026-02-13T22:04:27.521000,0.7375,0.739,0.737,0.001,143.18,452.18
1770991528,2026-02-13T22:05:28.221014,0.7525,0.755,0.75,0.005,217.74,524.44
1770991588,2026-02-13T22:06:28.226667,0.7565,0.76,0.753,0.007,913.57,1380.75
1770991648,2026-02-13T22:07:28.233467,0.7605,0.771,0.758,0.013,1040.75,741.36
1770991708,2026-02-13T22:08:28.156933,0.7615,0.763,0.76,0.003,1325.53,1176.38
1770991768,2026-02-13T22:09:28.458081,0.765,0.766,0.764,0.002,675.03,1498.88
1770991828,2026-02-13T22:10:28.221240,0.74,0.765,0.715,0.05,1222.8,774.76
1770991888,2026-02-13T22:11:28.230394,0.7605,0.766,0.755,0.011,1961.8700000000001,320.28
1770991947,2026-02-13T22:12:27.938656,0.7715,0.772,0.771,0.001,913.77,297.2
1770992007,2026-02-13T22:13:27.950339,0.7815,0.786,0.778,0.007,271.79,1412.82
1770992068,2026-02-13T22:14:28.101233,0.7845,0.785,0.784,0.001,1089.26,881.83
1770992128,2026-02-13T22:15:28.253431,0.7845,0.785,0.784,0.001,1376.79,1043.33
1770992187,2026-02-13T22:16:27.932406,0.786,0.788,0.784,0.004,1248.8600000000001,1981.31
1770992248,2026-02-13T22:17:28.104069,0.787,0.788,0.786,0.002,818.86,2989.99
1770992308,2026-02-13T22:18:28.216373,0.79,0.792,0.788,0.004,770.87,971.58
1770992368,2026-02-13T22:19:28.164953,0.79,0.792,0.788,0.004,1127.0,445.34
1770992428,2026-02-13T22:20:28.223124,0.788,0.789,0.786,0.003,1039.17,2294.21
1770992488,2026-02-13T22:21:28.324181,0.7885,0.791,0.786,0.005,782.81,623.88
1770992548,2026-02-13T22:22:28.244898,0.7905,0.791,0.79,0.001,924.15,3015.33
