timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1770991000,2026-02-13T21:56:40.213569,0.0025,0.003,0.002,0.001,8694364.1,743937.74
1770991459,2026-02-13T22:04:19.122083,0.0025,0.003,0.002,0.001,8694321.0,743801.04
1770991519,2026-02-13T22:05:19.221511,0.0025,0.003,0.002,0.001,8694321.0,743690.72
1770991579,2026-02-13T22:06:19.462849,0.0025,0.003,0.002,0.001,8694321.0,743730.8
1770991639,2026-02-13T22:07:19.305787,0.0025,0.003,0.002,0.001,8694321.0,743720.78
1770991699,2026-02-13T22:08:19.438826,0.0025,0.003,0.002,0.001,8694303.959999999,743700.74
1770991759,2026-02-13T22:09:19.456149,0.0025,0.003,0.002,0.001,8694303.959999999,743700.74
1770991819,2026-02-13T22:10:19.221613,0.0025,0.003,0.002,0.001,8694303.959999999,743750.89
1770991879,2026-02-13T22:11:19.446983,0.0025,0.003,0.002,0.001,8694303.959999999,743710.76
1770991939,2026-02-13T22:12:19.227855,0.0025,0.003,0.002,0.001,8694290.959999999,744298.22
1770991999,2026-02-13T22:13:19.241825,0.0025,0.003,0.002,0.001,8694288.95,744318.26
1770992059,2026-02-13T22:14:19.317816,0.0025,0.003,0.002,0.001,8694288.95,744308.24
1770992119,2026-02-13T22:15:19.495760,0.0025,0.003,0.002,0.001,8694288.95,744298.22
1770992179,2026-02-13T22:16:19.218738,0.0025,0.003,0.002,0.001,8694288.95,744041.77
1770992239,2026-02-13T22:17:19.390847,0.0025,0.003,0.002,0.001,8694188.95,744071.8300000001
1770992299,2026-02-13T22:18:19.318454,0.0025,0.003,0.002,0.001,8694188.95,744051.79
1770992359,2026-02-13T22:19:19.228628,0.0025,0.003,0.002,0.001,8694188.95,744041.77
1770992419,2026-02-13T22:20:19.439542,0.0025,0.003,0.002,0.001,8694163.39,744043.31
1770992479,2026-02-13T22:21:19.462505,0.0025,0.003,0.002,0.001,8694100.39,744043.31
1770992539,2026-02-13T22:22:19.439956,0.0025,0.003,0.002,0.001,8694100.39,744043.31
